,mdct,temp
7032728,2006-07-25 00:00:00,0.0
7032729,2006-07-25 01:00:00,0.0
7032730,2006-07-25 02:00:00,0.0
7032731,2006-07-25 03:00:00,0.0
7032732,2006-07-25 04:00:00,0.0
7032733,2006-07-25 05:00:00,0.0
7032734,2006-07-25 06:00:00,0.0
7032735,2006-07-25 07:00:00,0.0
7032736,2006-07-25 08:00:00,0.0
7032737,2006-07-25 09:00:00,0.0
7032738,2006-07-25 10:00:00,0.0
7032739,2006-07-25 11:00:00,0.0
7032740,2006-07-25 12:00:00,0.0
7032741,2006-07-25 13:00:00,0.0
7032742,2006-07-25 14:00:00,25.2
7032743,2006-07-25 15:00:00,26.1
7032744,2006-07-25 16:00:00,27.4
7032745,2006-07-25 17:00:00,27.4
7032746,2006-07-25 18:00:00,27.4
7032747,2006-07-25 19:00:00,27.3
7032748,2006-07-25 20:00:00,26.3
7032749,2006-07-25 21:00:00,25.1
7032750,2006-07-25 22:00:00,23.5
7032751,2006-07-25 23:00:00,22.5
7032752,2006-07-26 00:00:00,21.6
7032753,2006-07-26 01:00:00,19.7
7032754,2006-07-26 02:00:00,20.4
7032755,2006-07-26 03:00:00,19.2
7032756,2006-07-26 04:00:00,17.9
7032757,2006-07-26 05:00:00,17.5
7032758,2006-07-26 06:00:00,16.4
7032759,2006-07-26 07:00:00,16.3
7032760,2006-07-26 08:00:00,16.0
7032761,2006-07-26 09:00:00,15.8
7032762,2006-07-26 10:00:00,15.6
7032763,2006-07-26 11:00:00,17.1
7032764,2006-07-26 12:00:00,18.8
7032765,2006-07-26 13:00:00,22.1
7032766,2006-07-26 14:00:00,24.3
7032767,2006-07-26 15:00:00,25.0
7032768,2006-07-26 16:00:00,26.3
7032769,2006-07-26 17:00:00,26.8
7032770,2006-07-26 18:00:00,26.8
7032771,2006-07-26 19:00:00,26.8
7032772,2006-07-26 20:00:00,26.1
7032773,2006-07-26 21:00:00,24.0
7032774,2006-07-26 22:00:00,23.5
7032775,2006-07-26 23:00:00,22.5
7032776,2006-07-27 00:00:00,21.5
7032777,2006-07-27 01:00:00,21.4
7032778,2006-07-27 02:00:00,20.9
7032779,2006-07-27 03:00:00,18.3
7032780,2006-07-27 04:00:00,18.4
7032781,2006-07-27 05:00:00,17.5
7032782,2006-07-27 06:00:00,16.8
7032783,2006-07-27 07:00:00,16.2
7032784,2006-07-27 08:00:00,15.9
7032785,2006-07-27 09:00:00,14.9
7032786,2006-07-27 10:00:00,14.8
7032787,2006-07-27 11:00:00,16.9
7032788,2006-07-27 12:00:00,19.5
7032789,2006-07-27 13:00:00,21.9
7032790,2006-07-27 14:00:00,25.7
7032791,2006-07-27 15:00:00,26.7
7032792,2006-07-27 16:00:00,27.6
7032793,2006-07-27 17:00:00,27.4
7032794,2006-07-27 18:00:00,27.4
7032795,2006-07-27 19:00:00,27.3
7032796,2006-07-27 20:00:00,26.7
7032797,2006-07-27 21:00:00,24.7
7032798,2006-07-27 22:00:00,23.8
7032799,2006-07-27 23:00:00,22.6
7032800,2006-07-28 00:00:00,21.6
7032801,2006-07-28 01:00:00,20.9
7032802,2006-07-28 02:00:00,19.9
7032803,2006-07-28 03:00:00,19.3
7032804,2006-07-28 04:00:00,19.0
7032805,2006-07-28 05:00:00,19.1
7032806,2006-07-28 06:00:00,19.2
7032807,2006-07-28 07:00:00,18.1
7032808,2006-07-28 08:00:00,17.9
7032809,2006-07-28 09:00:00,17.8
7032810,2006-07-28 10:00:00,17.6
7032811,2006-07-28 11:00:00,18.2
7032812,2006-07-28 12:00:00,19.6
7032813,2006-07-28 13:00:00,23.3
7032814,2006-07-28 14:00:00,25.6
7032815,2006-07-28 15:00:00,26.8
7032816,2006-07-28 16:00:00,28.0
7032817,2006-07-28 17:00:00,28.2
7032818,2006-07-28 18:00:00,28.9
7032819,2006-07-28 19:00:00,28.1
7032820,2006-07-28 20:00:00,28.0
7032821,2006-07-28 21:00:00,26.1
7032822,2006-07-28 22:00:00,25.0
7032823,2006-07-28 23:00:00,24.7
7032824,2006-07-29 00:00:00,24.4
7032825,2006-07-29 01:00:00,24.0
7032826,2006-07-29 02:00:00,24.6
7032827,2006-07-29 03:00:00,24.0
7032828,2006-07-29 04:00:00,21.4
7032829,2006-07-29 05:00:00,19.1
7032830,2006-07-29 06:00:00,18.0
7032831,2006-07-29 07:00:00,17.9
7032832,2006-07-29 08:00:00,18.4
7032833,2006-07-29 09:00:00,18.5
7032834,2006-07-29 10:00:00,18.4
7032835,2006-07-29 11:00:00,18.5
7032836,2006-07-29 12:00:00,18.4
7032837,2006-07-29 13:00:00,17.6
7032838,2006-07-29 14:00:00,20.6
7032839,2006-07-29 15:00:00,18.5
7032840,2006-07-29 16:00:00,18.3
7032841,2006-07-29 17:00:00,17.6
7032842,2006-07-29 18:00:00,17.0
7032843,2006-07-29 19:00:00,15.8
